Date,Label,BenchSuite,BenchItem,Engine,Version,Config,Machine,Metric,Avg ,95,5,Min,Max,timestamp
2023-02-05,NIGHTLY_RUN,PolybenchC,bicg,jsc,76babbc4cdb34fa3e128164cca20dcba817a2058,omg,x86-64,execution_time,0.032855,0.032855,0.032855,0.032855,0.032855,2023-04-13 10:46:02.047156-04
2023-02-05,NIGHTLY_RUN,PolybenchC,mvt,jsc,76babbc4cdb34fa3e128164cca20dcba817a2058,omg,x86-64,execution_time,0.034183,0.034183,0.034183,0.034183,0.034183,2023-04-13 10:46:02.047156-04
2023-02-05,NIGHTLY_RUN,PolybenchC,atax,jsc,76babbc4cdb34fa3e128164cca20dcba817a2058,omg,x86-64,execution_time,0.033749,0.033749,0.033749,0.033749,0.033749,2023-04-13 10:46:02.047156-04
2023-02-05,NIGHTLY_RUN,PolybenchC,gemver,jsc,76babbc4cdb34fa3e128164cca20dcba817a2058,omg,x86-64,execution_time,0.0329,0.0329,0.0329,0.0329,0.0329,2023-04-13 10:46:02.047156-04
2023-02-05,NIGHTLY_RUN,PolybenchC,trmm,jsc,76babbc4cdb34fa3e128164cca20dcba817a2058,omg,x86-64,execution_time,0.038769,0.038769,0.038769,0.038769,0.038769,2023-04-13 10:46:02.047156-04
2023-02-05,NIGHTLY_RUN,PolybenchC,doitgen,jsc,76babbc4cdb34fa3e128164cca20dcba817a2058,omg,x86-64,execution_time,0.043583,0.043583,0.043583,0.043583,0.043583,2023-04-13 10:46:02.047156-04
2023-02-05,NIGHTLY_RUN,PolybenchC,syrk,jsc,76babbc4cdb34fa3e128164cca20dcba817a2058,omg,x86-64,execution_time,0.040689,0.040689,0.040689,0.040689,0.040689,2023-04-13 10:46:02.047156-04
2023-02-05,NIGHTLY_RUN,PolybenchC,correlation,jsc,76babbc4cdb34fa3e128164cca20dcba817a2058,omg,x86-64,execution_time,0.046321,0.046321,0.046321,0.046321,0.046321,2023-04-13 10:46:02.047156-04
2023-02-05,NIGHTLY_RUN,PolybenchC,covariance,jsc,76babbc4cdb34fa3e128164cca20dcba817a2058,omg,x86-64,execution_time,0.043409,0.043409,0.043409,0.043409,0.043409,2023-04-13 10:46:02.047156-04
2023-02-05,NIGHTLY_RUN,PolybenchC,symm,jsc,76babbc4cdb34fa3e128164cca20dcba817a2058,omg,x86-64,execution_time,0.048846,0.048846,0.048846,0.048846,0.048846,2023-04-13 10:46:02.047156-04
2023-02-05,NIGHTLY_RUN,PolybenchC,syr2k,jsc,76babbc4cdb34fa3e128164cca20dcba817a2058,omg,x86-64,execution_time,0.048801,0.048801,0.048801,0.048801,0.048801,2023-04-13 10:46:02.047156-04
2023-02-05,NIGHTLY_RUN,PolybenchC,gemm,jsc,76babbc4cdb34fa3e128164cca20dcba817a2058,omg,x86-64,execution_time,0.048442,0.048442,0.048442,0.048442,0.048442,2023-04-13 10:46:02.047156-04
2023-02-05,NIGHTLY_RUN,PolybenchC,gramschmidt,jsc,76babbc4cdb34fa3e128164cca20dcba817a2058,omg,x86-64,execution_time,0.051248,0.051248,0.051248,0.051248,0.051248,2023-04-13 10:46:02.047156-04
2023-02-05,NIGHTLY_RUN,PolybenchC,2mm,jsc,76babbc4cdb34fa3e128164cca20dcba817a2058,omg,x86-64,execution_time,0.054888,0.054888,0.054888,0.054888,0.054888,2023-04-13 10:46:02.047156-04
2023-02-05,NIGHTLY_RUN,PolybenchC,nussinov,jsc,76babbc4cdb34fa3e128164cca20dcba817a2058,omg,x86-64,execution_time,0.057224,0.057224,0.057224,0.057224,0.057224,2023-04-13 10:46:02.047156-04
2023-02-05,NIGHTLY_RUN,PolybenchC,adi,jsc,76babbc4cdb34fa3e128164cca20dcba817a2058,omg,x86-64,execution_time,0.103658,0.103658,0.103658,0.103658,0.103658,2023-04-13 10:46:02.047156-04
2023-02-05,NIGHTLY_RUN,PolybenchC,3mm,jsc,76babbc4cdb34fa3e128164cca20dcba817a2058,omg,x86-64,execution_time,0.070278,0.070278,0.070278,0.070278,0.070278,2023-04-13 10:46:02.047156-04
2023-02-05,NIGHTLY_RUN,PolybenchC,fdtd-2d,jsc,76babbc4cdb34fa3e128164cca20dcba817a2058,omg,x86-64,execution_time,0.064432,0.064432,0.064432,0.064432,0.064432,2023-04-13 10:46:02.047156-04
2023-02-05,NIGHTLY_RUN,PolybenchC,jacobi-2d,jsc,76babbc4cdb34fa3e128164cca20dcba817a2058,omg,x86-64,execution_time,0.069476,0.069476,0.069476,0.069476,0.069476,2023-04-13 10:46:02.047156-04
